"name","country","subcountry","geonameid"
"Abuja","Nigeria","Abuja Federal Capital Territory","2352778"
"Aburi","Ghana","Eastern","2306119"
"Abuyog","Philippines","Eastern Visayas","1732312"
"Ābyek","Iran","Markazi","144794"
"Acacías","Colombia","Meta","3690577"
"Acajete","Mexico","Puebla","3533486"
"Acajutla","El Salvador","Sonsonate","3587498"
"Acámbaro","Mexico","Guanajuato","4019827"
"Acaponeta","Mexico","Nayarit","4019819"
"Acapulco de Juárez","Mexico","Guerrero","3533462"
"Acaraú","Brazil","Ceará","3408368"
"Acarigua","Venezuela","Portuguesa","3649833"
"Acatlán de Osorio","Mexico","Puebla","3533440"
"Acatzingo de Hidalgo","Mexico","Puebla","3533433"
"Acayucan","Mexico","Veracruz","3533426"
"Accra","Ghana","Greater Accra","2306104"
"Accrington","United Kingdom","England","2657770"
"Acerra","Italy","Campania","3183541"
"Achalpur","India","Maharashtra","1279390"
"Acharnés","Greece","Attica","265488"
"Acheng","China","Heilongjiang Sheng","2038679"
"Achères","France","Île-de-France","3038712"
"Achern","Germany","Baden-Württemberg","2959686"
"Achhnera","India","Uttar Pradesh","1279382"
"Achiaman","Ghana","Greater Accra","2306079"
"Achim","Germany","Lower Saxony","2959681"
"Achinsk","Russia","Krasnoyarskiy","1512165"
"Achkhoy-Martan","Russia","Chechnya","584298"
"Aci Castello","Italy","Sicily","2525792"
"Aci Catena","Italy","Sicily","2525791"
"Acilia-Castel Fusano-Ostia Antica","Italy","Latium","3183539"
"Acireale","Italy","Sicily","2525790"
"Acocks Green","United Kingdom","England","2657703"
"Acopiara","Brazil","Ceará","3408343"
"Acquaviva delle Fonti","Italy","Apulia","3183494"
"Acqui Terme","Italy","Piedmont","3183490"
"Acton","United Kingdom","England","2657697"
"Acton","United States","Massachusetts","4928703"
"Actopan","Mexico","Hidalgo","3533389"
"Açu","Brazil","Rio Grande do Norte","3408337"
"Acworth","United States","Georgia","4179074"
"Ad Dānā","Syria","Idlib","174259"
"Ad Darbāsīyah","Syria","Al-Hasakah","170887"
"Ad Dasmah","Kuwait","Al Asimah","285856"
"Ad Dawādimī","Saudi Arabia","Ar Riyāḑ","110325"
"Ad Dilam","Saudi Arabia","Ar Riyāḑ","110314"
"Ad Dilinjāt","Egypt","Al Buḩayrah","361827"
"Ad Dindar","Sudan","Sinnār","380151"
"Ad Dīwānīyah","Iraq","Al Qādisīyah","99762"
"Ad Douiem","Sudan","White Nile","380129"
"Ad Dujayl","Iraq","Salah ad Din Governorate","99759"
"Ad-Damazin","Sudan","Blue Nile","380174"
"Ada","United States","Oklahoma","4529096"
"Ādam","Oman","Muḩāfaz̧at ad Dākhilīyah","289433"
"Adamantina","Brazil","São Paulo","3473157"
"Ādampur","India","Punjab","1462733"
"Adamstown","Pitcairn","N/A","4030723"
"Adana","Turkey","Adana","325363"
"Adapazarı","Turkey","Sakarya","752850"
"Addanki","India","Andhra Pradesh","1279356"
"Addiet Canna","Ethiopia","Amhara","345353"
"Addis Ababa","Ethiopia","Ādīs Ābeba","344979"
"Addison","United States","Illinois","4882920"
"Adeje","Spain","Canary Islands","2522437"
"Adelaide","Australia","South Australia","2078025"
"Adelaide Hills","Australia","South Australia","7302628"
"Adelanto","United States","California","5322400"
"Adelfia","Italy","Apulia","3183472"
"Adelphi","United States","Maryland","4346991"
"Aden","Yemen","Aden","415189"
"Adh Dhayd","United Arab Emirates","Ash Shāriqah","292953"
"Adiaké","Ivory Coast","Sud-Comoé","2293428"
"Ādīgrat","Ethiopia","Tigray","345149"
"Ādilābād","India","Telangana","1279344"
"Adilcevaz","Turkey","Bitlis","325336"
"Adirampattinam","India","Tamil Nadu","1278204"
"Ādīs Zemen","Ethiopia","Amhara","344923"
"Adiwerna","Indonesia","Central Java","1651887"
"Adıyaman","Turkey","Adıyaman","325330"
"Adjud","Romania","Vrancea","686669"
"Adjumani","Uganda","Northern Region","235489"
"Adler","Russia","Krasnodarskiy","584243"
"Adlershof","Germany","Berlin","2959441"
"Adliswil","Switzerland","Zurich","2661861"
"Admiralteisky","Russia","St.-Petersburg","8504953"
"Ado Odo","Nigeria","Ogun","2352356"
"Ado-Ekiti","Nigeria","Ekiti","2352379"
"Ādoni","India","Andhra Pradesh","1279335"
"Adra","Spain","Andalusia","2522430"
"Adra","India","West Bengal","1279334"
"Adrano","Italy","Sicily","2525769"
"Adrar","Algeria","Adrar","2508813"
"Adrian","United States","Michigan","4983811"
"Adrogué","Argentina","Buenos Aires","10172104"
"Adūr","India","Kerala","1279323"
"Adzopé","Ivory Coast","Lagunes","2293342"
"Affery","Ivory Coast","Lagunes","2288118"
"Affton","United States","Missouri","4374513"
"Afgooye","Somalia","Lower Shabeelle","65785"
"Afikpo","Nigeria","Ebonyi","2352250"
"Afipskiy","Russia","Krasnodarskiy","584126"
"Aflou","Algeria","Laghouat","2508737"
"Afogados da Ingazeira","Brazil","Pernambuco","3408274"
"Afragola","Italy","Campania","3183455"
"Afşin","Turkey","Kahramanmaraş","325304"
"Afyonkarahisar","Turkey","Afyonkarahisar","325303"
"Afzalgarh","India","Uttar Pradesh","1279307"
"Afzalpur","India","Karnataka","1279306"
"Agadez","Niger","Agadez","2448085"
"Agadir","Morocco","Souss-Massa-Drâa","2561668"
"Agar","India","Madhya Pradesh","1279299"
"Āgaro","Ethiopia","Oromiya","344661"
"Agartala","India","Tripura","1279290"
"Agawam","United States","Massachusetts","4928788"
"Agbor","Nigeria","Delta","2351979"
"Agboville","Ivory Coast","Agnéby","2293268"
"Ağdam","Azerbaijan","Ağdam","148619"
"Ağdaş","Azerbaijan","Ağdaş","587378"
"Agde","France","Languedoc-Roussillon-Midi-Pyrénées","3038638"
"Agdzhabedy","Azerbaijan","Ağcabǝdi","587384"
"Agen","France","Aquitaine-Limousin-Poitou-Charentes","3038634"
"Ageoshimo","Japan","Saitama","1865714"
"Aghajari","Iran","Khuzestan","144696"
"Aghsu","Azerbaijan","Ağsu","587361"
"Agía Paraskeví","Greece","Attica","264194"
"Agía Varvára","Greece","Attica","264111"
"Agidel’","Russia","Bashkortostan","484856"
"Ágioi Anárgyroi","Greece","Attica","8358563"
"Agios Dimitrios","Greece","Attica","263986"
"Agios Ioannis Rentis","Greece","Attica","8478257"
"Agnibilékrou","Ivory Coast","Moyen-Comoé","2293260"
"Agogo","Ghana","Ashanti","2305537"
"Agoo","Philippines","Ilocos","1731959"
"Agoura","United States","California","5322551"
"Agoura Hills","United States","California","5322553"
"Āgra","India","Uttar Pradesh","1279259"
"Agrigento","Italy","Sicily","2525764"
"Agrínio","Greece","West Greece","265560"
"Ağrı","Turkey","Ağrı","309647"
"Agropoli","Italy","Campania","3183412"
"Agryz","Russia","Tatarstan","583983"
"Agua Dulce","Mexico","Veracruz","3533269"
"Água Preta","Brazil","Pernambuco","3408175"
"Agua Prieta","Mexico","Sonora","4019260"
"Aguachica","Colombia","Cesar","3690465"
"Aguada de Pasajeros","Cuba","Cienfuegos","3569546"
"Aguadas","Colombia","Caldas","3690431"
"Aguadilla","Puerto Rico","Aguadilla","4562506"
"Aguadulce","Panama","Coclé","3715042"
"Aguaí","Brazil","São Paulo","3472969"
"Águas Belas","Brazil","Pernambuco","3408166"
"Águas de Lindóia","Brazil","São Paulo","3472869"
"Águas Santas","Portugal","Porto","2743304"
"Águas Vermelhas","Brazil","Minas Gerais","3472848"
"Aguascalientes","Mexico","Aguascalientes","4019233"
"Aguazul","Colombia","Casanare","3690316"
"Agudos","Brazil","São Paulo","3472825"
"Aguilares","Argentina","Tucumán","3866496"
"Aguilares","El Salvador","San Salvador","3587428"
"Águilas","Spain","Murcia","2522333"
"Agüimes","Spain","Canary Islands","2522325"
"Agulu","Nigeria","Anambra","2351740"
"Agustín Codazzi","Colombia","Cesar","3792383"
"Ahar","Iran","East Azerbaijan","144616"
"Ahaus","Germany","North Rhine-Westphalia","2959279"
"Ahfir","Morocco","Oriental","2561124"
"Ahlat","Turkey","Bitlis","325103"
"Ahlen","Germany","North Rhine-Westphalia","2959223"
"Ahmadnagar","India","Maharashtra","1279228"
"Ahmadpur","India","Maharashtra","1279227"
"Ahmadpur East","Pakistan","Punjab","1184845"
"Ahmadpur Siāl","Pakistan","Punjab","1356491"
"Ahmedabad","India","Gujarat","1279233"
"Ahraura","India","Uttar Pradesh","1279219"
"Ahrensburg","Germany","Schleswig-Holstein","2959083"
"Ahuachapán","El Salvador","Ahuachapán","3587426"
"Ahvaz","Iran","Khuzestan","144448"
"Aībak","Afghanistan","Samangān","1127768"
"Aichach","Germany","Bavaria","2958975"
"Aigáleo","Greece","Attica","265533"
"Aígio","Greece","West Greece","265500"
"Aiken","United States","South Carolina","4569067"
"Aileu","East Timor","Aileu","1651816"
"Aimorés","Brazil","Minas Gerais","3472808"
"Aïn Arnat","Algeria","Sétif","2508297"
"Aïn Beïda","Algeria","Oum el Bouaghi","2508287"
"Aïn Bessem","Algeria","Bouira","2508268"
"Aïn Defla","Algeria","Aïn Defla","2508228"
"Aïn el Bya","Algeria","Oran","2508174"
"Aïn Fakroun","Algeria","Oum el Bouaghi","2508102"
"Aïn Kercha","Algeria","Oum el Bouaghi","2508059"
"Aïn Oussera","Algeria","Djelfa","2507972"
"Aïn Sefra","Algeria","Naama النعامة","2507943"
"Aïn Smara","Algeria","Constantine","2507926"
"Ain Sukhna","Egypt","As Suways","7521348"
"Aïn Taya","Algeria","Alger","2507912"
"Aïn Temouchent","Algeria","Aïn Temouchent","2507901"
"Aïn Touta","Algeria","Batna","2507877"
"Aioi","Japan","Hyōgo","1865661"
"Airdrie","Canada","Alberta","5882799"
"Airdrie","United Kingdom","Scotland","2657613"
"Airoli","India","Maharashtra","7279599"
"Aistala","India","West Bengal","7302860"
"Aiud","Romania","Alba","686590"
"Aix-en-Provence","France","Provence-Alpes-Côte d'Azur","3038354"
"Aix-les-Bains","France","Auvergne-Rhône-Alpes","3038350"
"Aizawl","India","Mizoram","1279186"
"Ajā","Egypt","Muḩāfaz̧at ad Daqahlīyah","361702"
"Ajaccio","France","Corsica","3038334"
"Ajalpan","Mexico","Puebla","3533126"
"Ajaokuta","Nigeria","Kogi","2351470"
"Ajax","Canada","Ontario","5882873"
"Ajdabiya","Libya","Sha‘bīyat al Wāḩāt","89113"
"Ajka","Hungary","Veszprém","3056357"
"Ajman","United Arab Emirates","Ajman","292932"
"Ajmer","India","Rajasthan","1279159"
"Ajnāla","India","Punjab","1279158"
"Ajodhya","India","Uttar Pradesh","1278094"
"Ajra","India","Maharashtra","1279154"
"Akademgorodok","Russia","Novosibirsk","1512086"
"Akademicheskoe","Russia","Leningrad","8504958"
"Akalkot","India","Maharashtra","1279147"
"Akaltara","India","Chhattisgarh","1279144"
"Akashi","Japan","Hyōgo","1847966"
"Akbarābād","Iran","Fars","144410"
"Akbarpur","India","Uttar Pradesh","1279134"
"Akbarpur","India","Uttar Pradesh","1279135"
"Akbou","Algeria","Bejaïa","2507646"
"Akçaabat","Turkey","Trabzon","752627"
"Akçakale","Turkey","Şanlıurfa","324944"
"Akçakoca","Turkey","Düzce","752584"
"Akdağmadeni","Turkey","Yozgat","324768"
"Åkersberga","Sweden","Stockholm","2727234"
"Aketi","Democratic Republic of the Congo","Eastern Province","220448"
"Akhaltsikhe","Georgia","Samtskhe-Javakheti","615860"
"Akhisar","Turkey","Manisa","324698"
"Akhmīm","Egypt","Sūhāj","361661"
"Akhtubinsk","Russia","Astrakhan","583798"
"Akhtyrskiy","Russia","Krasnodarskiy","583785"
"Aki","Japan","Kochi","1865449"
"Akim Oda","Ghana","Eastern","2296564"
"Akita","Japan","Akita","2113126"
"Akitashi","Japan","Akita","2113719"
"Akivīdu","India","Andhra Pradesh","1279123"
"Akkarampalle","India","Andhra Pradesh","7302805"
"Akkol’","Kazakhstan","Aqmola","1526797"
"Aklera","India","Rajasthan","1279115"
"Akola","India","Maharashtra","1279105"
"Akonolinga","Cameroon","Centre","2235776"
"Akora","Pakistan","Khyber Pakhtunkhwa","1184752"
"Akot","India","Maharashtra","1279094"
"Akouda","Tunisia","Sūsah","2473913"
"Akoupé","Ivory Coast","Lagunes","2293107"
"Akron","United States","Ohio","5145476"
"Aksaray","Turkey","Aksaray","324496"
"Aksay","Russia","Rostov","583673"
"Akşehir","Turkey","Konya","324490"
"Aksu","Kazakhstan","Pavlodar","1524298"
"Aksu","Kazakhstan","Ongtüstik Qazaqstan","1525462"
"Aktau","Kazakhstan","Mangghystaū","610612"
"Aku","Nigeria","Enugu","2350886"
"Akune","Japan","Kagoshima","1865401"
"Akure","Nigeria","Ondo","2350841"
"Akureyri","Iceland","Northeast","2633274"
"Akwanga","Nigeria","Nassarawa","2350806"
"Akwatia","Ghana","Eastern","2304931"
"Akyazı","Turkey","Sakarya","752288"
"Al ‘Amārah","Iraq","Maysan","99608"
"Al ‘Ayyāţ","Egypt","Al Jīzah","361495"
"Al ‘Ayzarīyah","Palestinian Territory","West Bank","285111"
"Al ‘Azīzīyah","Iraq","Wāsiţ","99548"
"Al ‘Ulá","Saudi Arabia","Al Madīnah al Munawwarah","108841"
"Al Abyār","Libya","Al Marj","89087"
"Al Aḩmadī","Kuwait","Al Aḩmadī","285839"
"Al Ain","United Arab Emirates","Abu Dhabi","292913"
"Al Bāb","Syria","Aleppo","174018"
"Al Badārī","Egypt","Asyūţ","361478"
"Al Bāḩah","Saudi Arabia","Minţaqat al Bāḩah","109953"
"Al Bājūr","Egypt","Muḩāfaz̧at al Minūfīyah","361457"
"Al Balyanā","Egypt","Sūhāj","361435"
"Al Başrah al Qadīmah","Iraq","Basra Governorate","388349"
"Al Baţţālīyah","Saudi Arabia","Eastern Province","109915"
"Al Bawīţī","Egypt","Al Jīzah","361394"
"Al Bayḑā’","Libya","Al Jabal al Akhḑar","89055"
"Al Bayḑā’","Yemen","Al Bayḑāʼ","79836"
"Al Bīrah","Palestinian Territory","West Bank","285108"
"Al Bukayrīyah","Saudi Arabia","Al-Qassim","109878"
"Al Burayj","Palestinian Territory","Gaza Strip","281161"
"Al Buraymī","Oman","Al Buraimi","289317"
"Al Faḩāḩīl","Kuwait","Al Aḩmadī","285811"
"Al Fallūjah","Iraq","Anbar","99454"
"Al Farwānīyah","Kuwait","Al Farwaniyah","285815"
"Al Fashn","Egypt","Muḩāfaz̧at Banī Suwayf","361329"
"Al Fāw","Iraq","Basra Governorate","99446"
"Al Fayyūm","Egypt","Muḩāfaz̧at al Fayyūm","361320"
"Al Finţās","Kuwait","Al Aḩmadī","285812"
"Al Fujayrah","United Arab Emirates","Al Fujayrah","292878"
"Al Ḩāmūl","Egypt","Kafr ash Shaykh","361213"
"Al Ḩarāk","Syria","Daraa","173819"
"Al Hārithah","Iraq","Basra Governorate","99369"
"Al Hasaheisa","Sudan","Al Jazīrah","379427"
"Al Ḩasakah","Syria","Al-Hasakah","173811"
"Al Ḩawāmidīyah","Egypt","Al Jīzah","361179"
"Al Ḩawātah","Sudan","Al Qaḑārif","379416"
"Al Ḩayy","Iraq","Wāsiţ","99350"
"Al Ḩazm","Yemen","Al Jawf","79455"
"Al Hilāliyya","Sudan","Al Jazīrah","379406"
"Al Ḩillah","Iraq","Bābil","99347"
"Al Hindīyah","Iraq","Karbalāʼ","99344"
"Al Hoceïma","Morocco","Taza-Al Hoceima-Taounate","2558545"
"Al Ḩudaydah","Yemen","Muḩāfaz̧at al Ḩudaydah","79415"
"Al Hufūf","Saudi Arabia","Eastern Province","109571"
"Al Ibrāhīmīyah","Egypt","Eastern Province","361103"
"Al Jadīd","Libya","Sabhā","2219960"
"Al Jahrā’","Kuwait","Al Jahrāʼ","285799"
"Al Jamālīyah","Egypt","Muḩāfaz̧at ad Daqahlīyah","361029"
"Al Jawf","Libya","Al Kufrah","88962"
"Al Jīzah","Egypt","Al Jīzah","360995"
"Al Jubayhah","Jordan","Amman","250637"
"Al Jubayl","Saudi Arabia","Eastern Province","109435"
"Al Jumūm","Saudi Arabia","Makkah","109417"
"Al Khābūrah","Oman","Al Batinah North Governorate","289199"
"Al Khafjī","Saudi Arabia","Eastern Province","109380"
"Al Khānkah","Egypt","Muḩāfaz̧at al Qalyūbīyah","360928"
"Al Khārijah","Egypt","Muḩāfaz̧at al Wādī al Jadīd","360923"
"Al Khawr","Qatar","Al Khawr","289962"
"Al Khums","Libya","Al Marqab","2219905"
"Al Kiswah","Syria","Rif-dimashq","173598"
"Al Kūt","Iraq","Wāsiţ","99131"
"Al Liwā’","Oman","Al Batinah North Governorate","289174"
"Al Maḩallah al Kubrá","Egypt","Muḩāfaz̧at al Gharbīyah","360829"
"Al Mahbūlah","Kuwait","Al Aḩmadī","285782"
"Al Manāqil","Sudan","Al Jazīrah","379149"
"Al Manqaf","Kuwait","Al Aḩmadī","285778"
"Al Manshāh","Egypt","Sūhāj","360773"
"Al Manşūrah","Egypt","Muḩāfaz̧at ad Daqahlīyah","360761"
"Al Manzilah","Egypt","Muḩāfaz̧at ad Daqahlīyah","360754"
"Al Marj","Libya","Al Marj","88903"
"Al Marsá","Tunisia","Tūnis","2473540"
"Al Maţarīyah","Egypt","Muḩāfaz̧at ad Daqahlīyah","360716"
"Al Mawşil al Jadīdah","Iraq","Nīnawá","99071"
"Al Mayādīn","Syria","Deir ez-Zor","173480"
"Al Mijlad","Sudan","West Kordofan State","379102"
"Al Minyā","Egypt","Al Minyā","360686"
"Al Miqdādīyah","Iraq","Diyālá","99062"
"Al Mishkhāb","Iraq","An Najaf","99060"
"Al Mithnab","Saudi Arabia","Al-Qassim","109131"
"Al Mubarraz","Saudi Arabia","Eastern Province","109101"
"Al Muharraq","Bahrain","Muharraq","290332"
"Al Mukallā","Yemen","Muḩāfaz̧at Ḩaḑramawt","78754"
"Al Munayzilah","Saudi Arabia","Eastern Province","109059"
"Al Musayyib","Iraq","Bābil","99039"
"Al Qadarif","Sudan","Al Qaḑārif","379062"
"Al Qanāţir al Khayrīyah","Egypt","Muḩāfaz̧at al Qalyūbīyah","360615"
"Al Qanāyāt","Egypt","Eastern Province","360612"
"Al Qarārah","Palestinian Territory","Gaza Strip","6967865"
"Al Qaryatayn","Syria","Homs","173361"
"Al Qaţīf","Saudi Arabia","Eastern Province","108927"
"Al Qayşūmah","Saudi Arabia","Eastern Province","108918"
"Al Qiţena","Sudan","White Nile","379014"
"Al Qubbah","Libya","Darnah","88835"
"Al Qunayţirah","Syria","Quneitra","173334"
"Al Qurayn","Egypt","Eastern Province","360542"
"Al Quşayr","Egypt","Red Sea","360531"
"Al Quşayr","Syria","Homs","173322"
"Al Qūşīyah","Egypt","Asyūţ","360526"
"Al Quţayfah","Syria","Rif-dimashq","173312"
"Al Quwaysimah","Jordan","Amman","250461"
"Al Wajh","Saudi Arabia","Minţaqat Tabūk","108773"
"Al Wakrah","Qatar","Al Wakrah","289915"
"Al Wāsiţah","Egypt","Muḩāfaz̧at al Fayyūm","360464"
"Al Yāmūn","Palestinian Territory","West Bank","284999"
"Al-Hamdaniya","Iraq","Nīnawá","92430"
"Al’met’yevsk","Russia","Tatarstan","582432"
"Alabel","Philippines","Soccsksargen","1731744"
"Alaca","Turkey","Çorum","752278"
"Alafaya","United States","Florida","6332439"
"Alaghsas","Niger","Agadez","2447938"
"Alagir","Russia","North Ossetia","802078"
"Alagoa Grande","Brazil","Paraíba","3408100"
"Alagoinhas","Brazil","Bahia","3472766"
"Alajuela","Costa Rica","Alajuela","3624955"
"Alamar","Cuba","La Habana","3569370"
"Alameda","United States","California","5322737"
"Alaminos","Philippines","Calabarzon","1731686"
"Alamo","United States","Texas","4670074"
"Álamo","Mexico","Veracruz","3533107"
"Alamogordo","United States","New Mexico","5454627"
"Aland","India","Karnataka","1279068"
"Alandi","India","Maharashtra","1279066"
"Alandur","India","Tamil Nadu","1279064"
"Ālangāyam","India","Tamil Nadu","1279061"
"Ālangulam","India","Tamil Nadu","1279058"
"Alanya","Turkey","Antalya","324190"
"Alapayevsk","Russia","Sverdlovsk","1511954"
"Alaplı","Turkey","Zonguldak","752184"
"Alaquàs","Spain","Valencia","2522297"
"Alarobia","Madagascar","Analamanga","1084740"
"Alaşehir","Turkey","Manisa","324172"
"Alatyr’","Russia","Chuvashia","583437"
"Alba","Italy","Piedmont","3183364"
"Alba Iulia","Romania","Alba","686578"
"Albacete","Spain","Castille-La Mancha","2522258"
"Albal","Spain","Valencia","2522250"
"Albano Laziale","Italy","Latium","3183356"
"Albany","Australia","Western Australia","2077963"
"Albany","United States","Georgia","4179320"
"Albany","United States","New York","5106834"
"Albany","United States","California","5322850"
"Albany","United States","Oregon","5710756"
"Albardón","Argentina","San Juan","3866425"
"Albemarle","United States","North Carolina","4452303"
"Albenga","Italy","Liguria","3183343"
"Albert Lea","United States","Minnesota","5016024"
"Albertslund","Denmark","Capital Region","2624906"
"Albertville","France","Auvergne-Rhône-Alpes","3038266"
"Albi","France","Languedoc-Roussillon-Midi-Pyrénées","3038261"
"Albignasego","Italy","Veneto","3183319"
"Alblasserdam","Netherlands","South Holland","2759915"
"Albolote","Spain","Andalusia","2522208"
"Alborada Jaltenco","Mexico","México","8858123"
"Alboraya","Spain","Valencia","2522203"
"Albstadt","Germany","Baden-Württemberg","2958595"
"Ālbū Kamāl","Syria","Deir ez-Zor","174448"
"Albufeira","Portugal","Faro","2272222"
"Albuquerque","United States","New Mexico","5454711"
"Albury","Australia","New South Wales","2178174"
"Alcabideche","Portugal","Lisbon","2272215"
"Alcalá de Guadaira","Spain","Andalusia","2522165"
"Alcalá de Henares","Spain","Madrid","3130616"
"Alcalá la Real","Spain","Andalusia","2522160"
"Alcalde Díaz","Panama","Panamá","3714932"
"Alcamo","Italy","Sicily","2525755"
"Alcañiz","Spain","Aragon","3130606"
"Alcantarilla","Spain","Murcia","2522152"
"Alcázar de San Juan","Spain","Castille-La Mancha","2522131"
"Alchevs’k","Ukraine","Luhansk","713716"
"Alcobendas","Spain","Madrid","3130583"
"Alcorcón","Spain","Madrid","3130564"
"Alcoy","Spain","Valencia","2522098"
"Alcúdia","Spain","Balearic Islands","2522091"
"Aldaia","Spain","Valencia","2522077"
"Aldan","Russia","Sakha","2027968"
"Alderetes","Argentina","Tucumán","3866367"
"Aldershot","United Kingdom","England","2657540"
"Aldine","United States","Texas","4670146"
